author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
manickavasagar,கோயில் திருப்பதிகம் - அனுபோக இலக்கணம்,254,229,0.901574803,8.251968504,3.836149037,218,0,0.0,4.63970669,7.669090575,9.397631051,39,0.175179401,4.409448819,3.135802469,81,81,0.024691358,0.061728395,0.87654321,9,3,3.0,53.81818182,Happy,Positive
manickavasagar,கோயில் மூத்த திருப்பதிகம் - அநாதியாகிய சற்காரியம்,229,211,0.92139738,8.165938865,2.808047017,202,1,0.004366812,4.53263892,7.4818143,9.112555811,38,0.187913126,4.366812227,5.585365854,41,41,0.0,0.0,0.756097561,15,9,1.666666667,58.36363636,Devotion,Positive
manickavasagar,சிவாபராணம்,470,411,0.874468085,6.778723404,2.572765394,381,3,0.008510638,4.619361638,7.753046849,9.663906586,40,0.197897007,3.740425532,4.895833333,96,96,0.0,0.072916667,0.9375,31,4,7.75,-213.3333333,Devotion,Positive
manickavasagar,செத்திலாப் பத்து,265,225,0.849056604,8.547169811,4.122492549,212,0,0.0,4.600362503,7.679020451,9.386097543,36,0.173793645,4.566037736,3.271604938,81,81,0.037037037,0.086419753,0.87654321,5,7,0.714285714,51.81818182,Sad,Negative
manickavasagar,சென்னிப்பத்து - சிவவிளைவு,245,197,0.804081633,7.571428571,2.731524206,179,0,0.0,4.520314711,7.519669747,9.120458877,36,0.184521,4.114285714,5.975609756,41,41,0.048780488,0.097560976,0.756097561,20,3,6.666666667,55.45454545,Devotion,Positive
manickavasagar,திரு அம்மானை,481,407,0.846153846,8.983367983,2.630331214,384,0,0.0,4.569079779,7.674111926,9.572679213,39,0.188803966,4.783783784,3.975206612,121,121,0.016528926,0.05785124,0.834710744,33,13,2.538461538,54.19047619,Devotion,Positive
manickavasagar,திருஉந்தியார் - ஞான வெற்றி,200,159,0.795,7.565,2.008923841,150,0,0.0,4.606168239,7.438625659,8.803564369,37,0.192351598,4.305,3.278688525,61,61,0.0,0.081967213,0.672131148,6,3,2.0,80.95238095,Devotion,Positive
manickavasagar,திருஏசறவு,166,151,0.909638554,9.289156627,2.326018992,144,0,0.0,4.635232295,7.664986452,9.226743433,38,0.189924725,5.120481928,4.048780488,41,41,0.0,0.073170732,0.756097561,13,2,6.5,69.81818182,Devotion,Positive
manickavasagar,திருக்கோத்தும்பி - சிவனோடு ஐக்கியம்,326,276,0.846625767,8.610429448,2.422747857,260,1,0.0,4.60917315,7.685113828,9.37449464,39,0.196090794,4.616564417,4.024691358,81,81,0.0,0.049382716,0.75308642,16,7,2.285714286,68.95238095,Devotion,Positive
manickavasagar,திருச்சாழல் - சிவனுடைய காருணியம்,325,258,0.793846154,8.818461538,2.528781543,224,0,0.003076923,4.657008815,7.76990221,9.552810785,37,0.174074074,4.846153846,4.012345679,81,81,0.172839506,0.074074074,0.62962963,29,3,9.666666667,79.03225806,Devotion,Positive
